,Number_of_Children,Number_of_Children_Spouse,Sex,Age,Age_at_Marriage,Age_of_Spouse,Age_at_Marriage_Spouse,Age_Difference,Number_of_Roles,Spouse_is_Celebrity,Distance,Divorced
197,1.0,2.0,0,26.0,25.0,90.0,35.0,10.0,2,1,7934.183940009717,0
198,4.0,4.0,0,38.0,28.0,45.0,35.0,7.0,3,0,2453.547722500867,0
199,2.0,,0,78.0,20.0,83.0,37.0,17.0,2,1,723.9823786353304,1
200,2.0,,0,60.0,27.0,,,,2,0,,1
201,1.0,,0,32.0,30.0,,,,1,0,,0
202,2.0,2.0,0,54.0,34.0,55.0,35.0,1.0,1,1,4094.722031771614,0
203,3.0,,0,46.0,26.0,,,,2,0,,1
204,1.0,,0,51.0,29.0,,,,2,0,,1
205,2.0,,0,34.0,27.0,,,,1,0,,1
206,1.0,,0,33.0,32.0,,,,1,0,,0
207,2.0,,0,37.0,33.0,,,,3,0,,0
208,1.0,,0,51.0,19.0,,,,2,0,,1
209,1.0,,0,41.0,21.0,52.0,32.0,11.0,1,0,893.8735224105977,1
210,4.0,3.0,0,82.0,23.0,76.0,44.0,21.0,1,0,3546.8083059069545,1
211,2.0,,0,58.0,37.0,,,,2,0,,1
212,,2.0,0,55.0,24.0,57.0,26.0,2.0,1,1,1068.0014023927242,1
213,2.0,,0,29.0,25.0,,,,1,0,,0
214,2.0,,0,47.0,36.0,,,,2,0,,0
215,3.0,,0,42.0,27.0,,,,1,0,,1
216,,,0,38.0,31.0,,,,3,0,,0
217,3.0,,0,71.0,19.0,,,,2,0,,1
218,2.0,,0,42.0,26.0,,,,2,0,,1
219,3.0,,0,39.0,30.0,,,,1,0,,0
220,1.0,,0,38.0,29.0,,,,2,0,,0
221,,,0,42.0,30.0,,,,1,0,,1
222,4.0,,0,36.0,24.0,,,,3,0,,0
223,2.0,,0,37.0,35.0,,,,2,0,,0
224,4.0,,0,51.0,26.0,,,,1,0,,0
225,,,0,67.0,16.0,,,,1,0,,1
226,5.0,,0,37.0,22.0,,,,1,0,,1
227,3.0,,0,43.0,25.0,,,,1,0,,1
228,5.0,,0,45.0,24.0,,,,2,0,,1
229,,,0,48.0,18.0,,,,1,0,,1
230,,,0,70.0,20.0,,,,2,0,,1
231,2.0,,0,39.0,29.0,,,,1,0,,1
232,2.0,,0,53.0,46.0,,,,2,0,,0
233,2.0,,0,90.0,24.0,,,,2,0,,1
234,2.0,,0,65.0,20.0,,,,1,0,,1
235,3.0,,0,37.0,26.0,,,,1,0,,0
236,1.0,,0,37.0,31.0,,,,3,0,,1
237,1.0,,0,38.0,27.0,,,,1,0,,1
238,,,0,73.0,23.0,,,,2,0,,0
239,1.0,,0,40.0,33.0,,,,1,0,,0
240,2.0,,0,83.0,30.0,,,,1,0,,0
241,2.0,2.0,0,51.0,32.0,51.0,32.0,0.0,2,1,15500.57117035704,0
242,,,0,47.0,30.0,,,,1,0,,1
243,1.0,,0,38.0,32.0,,,,3,0,,0
244,,2.0,0,43.0,42.0,49.0,48.0,6.0,3,0,120.15756116639189,0
245,,,0,48.0,33.0,,,,1,0,,1
246,2.0,3.0,0,51.0,23.0,56.0,28.0,5.0,1,0,4571.7251056279365,1
247,2.0,,0,32.0,25.0,,,,1,0,,0
248,1.0,,0,31.0,28.0,,,,1,0,,0
249,2.0,,0,40.0,30.0,,,,1,0,,0
250,2.0,4.0,0,44.0,30.0,79.0,65.0,35.0,1,0,12992.86791083558,0
251,3.0,,0,49.0,32.0,,,,1,0,,0
252,1.0,,0,33.0,22.0,,,,1,0,,0
253,,,0,,,,,,2,0,,0
254,3.0,2.0,0,40.0,27.0,46.0,33.0,6.0,3,0,16932.1680825875,1
255,,,0,69.0,35.0,58.0,24.0,11.0,1,0,16366.531673480476,1
256,,,0,33.0,26.0,,,,1,0,,0
257,2.0,,0,59.0,22.0,,,,2,0,,1
258,2.0,,0,,,,,,2,0,,0
259,,,0,50.0,22.0,,,,1,0,,1
260,3.0,3.0,0,51.0,27.0,52.0,28.0,1.0,1,0,14.652526670277243,0
261,2.0,,0,46.0,30.0,,,,2,0,,1
262,1.0,,0,32.0,27.0,,,,1,0,,1
263,,,0,41.0,30.0,,,,2,0,,1
264,,,0,30.0,29.0,,,,1,0,,0
265,4.0,4.0,0,37.0,28.0,43.0,34.0,6.0,3,1,11968.002728696858,0
266,3.0,,0,38.0,30.0,,,,1,0,,0
267,2.0,,0,40.0,29.0,,,,1,0,,0
268,2.0,,0,40.0,24.0,,,,1,0,,1
269,3.0,3.0,0,36.0,27.0,47.0,38.0,11.0,1,1,17050.192696405527,0
270,,,0,88.0,21.0,,,,1,0,,1
271,1.0,,0,29.0,26.0,,,,1,0,,0
272,1.0,2.0,0,87.0,22.0,94.0,31.0,9.0,1,0,0.0,0
273,,,0,28.0,24.0,,,,1,0,,1
274,,,0,,,,,,4,0,,1
275,,,0,40.0,25.0,,,,3,0,,1
276,1.0,1.0,0,52.0,28.0,57.0,33.0,5.0,2,0,,0
277,,,0,,,54.0,30.0,,2,0,,1
278,1.0,,0,45.0,29.0,,,,3,0,,1
279,,,0,,,,,,2,0,,0
280,1.0,1.0,0,39.0,22.0,44.0,27.0,5.0,2,0,,1
281,,,0,,,,,,1,0,,0
282,2.0,,0,,,,,,2,0,,0
283,,,0,45.0,34.0,,,,2,0,,0
284,,1.0,0,,,40.0,27.0,,2,0,,1
285,,,0,35.0,26.0,45.0,36.0,10.0,2,0,190.7828262287701,0
286,,,0,,,,,,1,0,,1
287,1.0,1.0,0,34.0,21.0,50.0,37.0,16.0,2,0,194.2659866843144,0
288,,,0,,,,,,1,0,,1
289,3.0,,0,33.0,23.0,,,,1,0,,0
290,2.0,,0,53.0,36.0,52.0,35.0,1.0,1,0,,0
291,5.0,,0,39.0,17.0,,,,2,0,,1
292,,,0,44.0,36.0,,,,1,0,,0
293,3.0,3.0,0,40.0,29.0,54.0,43.0,14.0,1,1,8150.161202571225,0
294,4.0,4.0,0,45.0,39.0,51.0,45.0,6.0,1,0,11025.622923911678,0
295,3.0,,0,47.0,24.0,,,,2,0,,1
296,2.0,2.0,0,45.0,29.0,45.0,29.0,0.0,2,1,1209.2722582554547,0
297,,,0,48.0,23.0,,,,1,0,,1
298,,,0,48.0,35.0,,,,1,0,,0
299,,,0,37.0,25.0,,,,2,0,,1
300,1.0,,0,47.0,25.0,,,,1,0,,1
301,,,0,38.0,33.0,,,,1,0,,1
302,2.0,,0,41.0,34.0,,,,1,0,,0
303,1.0,,0,36.0,22.0,,,,2,0,,1
304,,,0,35.0,24.0,38.0,27.0,3.0,1,0,208.3946486304439,1
305,2.0,,0,43.0,29.0,,,,1,0,,1
306,1.0,,0,52.0,22.0,,,,2,0,,1
307,,,0,59.0,53.0,,,,1,0,,0
308,3.0,3.0,0,37.0,24.0,41.0,28.0,4.0,2,1,361.4843501966867,0
309,1.0,3.0,0,55.0,26.0,56.0,27.0,1.0,1,1,8530.866508136218,1
310,2.0,,0,55.0,26.0,,,,2,0,,1
311,2.0,5.0,0,72.0,21.0,70.0,33.0,12.0,2,1,743.2337401890632,1
312,2.0,,0,40.0,17.0,,,,1,0,,1
313,1.0,1.0,0,35.0,28.0,48.0,41.0,13.0,2,1,953.3179274036268,0
314,,4.0,0,50.0,25.0,68.0,43.0,18.0,1,0,0.0,1
315,,,0,44.0,39.0,,,,1,0,,0
316,2.0,,0,54.0,37.0,,,,2,0,,1
317,2.0,2.0,0,34.0,29.0,37.0,32.0,3.0,1,1,376.2662573240457,0
318,3.0,,0,42.0,28.0,,,,1,0,,1
319,3.0,3.0,0,46.0,43.0,43.0,40.0,3.0,1,1,263.77377007412383,0
320,2.0,,0,46.0,25.0,,,,1,0,,0
321,,,0,35.0,25.0,,,,2,0,,1
322,1.0,5.0,0,40.0,28.0,50.0,38.0,10.0,1,1,18149.77435220301,0
323,,,0,25.0,23.0,,,,2,0,,0
324,1.0,,0,58.0,29.0,,,,2,0,,1
325,1.0,,0,41.0,18.0,,,,2,0,,1
326,1.0,,0,38.0,24.0,,,,2,0,,1
327,2.0,2.0,0,30.0,26.0,31.0,27.0,1.0,2,0,743.7007919555293,0
328,2.0,3.0,0,59.0,27.0,67.0,35.0,8.0,1,0,386.4137768249925,1
329,2.0,,0,65.0,25.0,,,,2,0,,0
330,,,0,59.0,21.0,,,,2,0,,1
331,,,0,30.0,25.0,37.0,32.0,7.0,1,1,258.8848243821223,0
332,1.0,,0,57.0,28.0,,,,2,0,,1
333,1.0,,0,34.0,33.0,,,,1,0,,0
334,2.0,,0,39.0,23.0,,,,1,0,,0
335,3.0,,0,42.0,31.0,,,,1,0,,0
336,1.0,,0,34.0,28.0,,,,1,0,,0
337,2.0,,0,36.0,25.0,,,,1,0,,0
338,4.0,,0,49.0,23.0,,,,4,0,,0
339,5.0,7.0,0,58.0,24.0,59.0,25.0,1.0,1,0,33.92484384606066,1
340,1.0,,0,,,,,,2,0,,0
341,1.0,1.0,0,30.0,29.0,41.0,40.0,11.0,2,0,658.4378254417139,0
342,1.0,,0,,,,,,2,0,,1
343,1.0,2.0,0,76.0,26.0,90.0,40.0,14.0,2,0,7477.055043215821,0
344,4.0,,0,37.0,25.0,,,,1,0,,0
345,5.0,,0,76.0,24.0,,,,1,0,,1
346,,,0,46.0,42.0,,,,2,0,,0
347,,,0,50.0,26.0,,,,1,0,,0
348,2.0,5.0,0,45.0,31.0,68.0,54.0,23.0,1,1,1634.9813089188383,0
349,3.0,,0,52.0,41.0,,,,1,0,,0
350,4.0,,0,56.0,23.0,,,,2,0,,1
351,,,0,40.0,38.0,35.0,33.0,5.0,2,0,,0
352,3.0,,0,45.0,33.0,,,,2,0,,1
353,3.0,,0,50.0,21.0,,,,1,0,,0
354,,,0,,,46.0,27.0,,1,0,,1
355,1.0,,0,31.0,30.0,,,,1,0,,0
356,2.0,,0,59.0,41.0,,,,1,0,,1
357,4.0,,0,50.0,29.0,,,,1,0,,1
358,3.0,,0,37.0,30.0,,,,2,0,,0
359,1.0,,0,34.0,21.0,,,,1,0,,1
360,3.0,,0,67.0,31.0,,,,1,0,,0
361,1.0,,0,42.0,33.0,,,,2,0,,0
362,2.0,,0,41.0,32.0,,,,2,0,,0
363,,,0,25.0,20.0,,,,1,0,,0
364,2.0,2.0,0,46.0,34.0,45.0,33.0,1.0,2,1,237.9260526017185,0
365,,,0,24.0,23.0,,,,1,0,,0
366,2.0,,0,49.0,21.0,60.0,32.0,11.0,2,1,2455.146566648628,1
367,,,0,,,,,,2,0,,0
368,1.0,,0,75.0,22.0,,,,1,0,,1
369,3.0,2.0,0,51.0,25.0,67.0,41.0,16.0,1,0,3368.195740911256,1
370,3.0,,0,42.0,25.0,,,,1,0,,1
371,,,0,34.0,25.0,51.0,42.0,17.0,2,1,8427.191037238948,1
372,,,0,31.0,29.0,,,,2,0,,0
373,2.0,,0,51.0,41.0,,,,2,0,,0
374,,,0,36.0,29.0,,,,1,0,,0
375,1.0,1.0,0,34.0,26.0,46.0,38.0,12.0,3,0,547.1010986031754,1
376,,,0,35.0,26.0,,,,2,0,,1
377,,,0,43.0,36.0,,,,2,0,,0
378,1.0,2.0,0,41.0,34.0,50.0,43.0,9.0,2,1,,0
379,,,0,32.0,28.0,,,,1,0,,0
380,,,0,33.0,22.0,,,,1,0,,1
381,,,0,34.0,28.0,,,,1,0,,0
382,,,0,47.0,22.0,,,,1,0,,1
383,1.0,,0,34.0,30.0,,,,1,0,,0
384,1.0,,0,36.0,31.0,,,,2,0,,0
385,,,0,39.0,27.0,,,,2,0,,1
386,,4.0,0,44.0,36.0,52.0,44.0,8.0,3,0,0.0,0
387,,,0,41.0,25.0,,,,2,0,,1
388,3.0,,0,51.0,21.0,,,,1,0,,1
389,1.0,,0,44.0,26.0,,,,1,0,,1
390,,,0,40.0,18.0,,,,1,0,,1
391,2.0,,0,49.0,33.0,,,,1,0,,1
392,2.0,,0,43.0,25.0,,,,2,0,,1
393,,,0,36.0,26.0,47.0,37.0,11.0,1,1,4453.366174465949,0
