Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Margaret Bechard,,,,,,,,,,,,,,,,,,,,F,musician
Alison Bechdel,,,,,,,,,,,,,,,,,,,,F,musician
Evelyn Torton Beck,,,,,,,,,,,,,,,,,,,,F,musician
K. K. Beck,,,,,,,,,,,,,,,,,,,,F,musician
Carol Becker,,,,,,,,,,,,,,,,,,,,F,musician
Robin Becker,,,,,,,,,,,,,,,,,,,,F,musician
Barbara Becnel,,,,,,,,,,,,,,,,,,,,F,musician
Rexanne Becnel,,,,,,,,,,,,,,,,,,,,F,musician
Susham Bedi,1945-07-01,"Firozpur, Punjab, 
British India",2020-03-20,,,,,,,Purva Bedi,,,,,,,,,,F,musician
Samantha Bee,,,,,,,,,,,,,,,,,,,,F,musician
Laura Beers,,,,,,,,,,,,,,,,,,,,F,musician
Sharon Begley,1956-06-14,"Englewood, New Jersey, US",2021-01-16,"Boston, Massachusetts, US",Ned Groth,,,1.0,,"Sarah Begley, Dan Begley-Groth",,,,,,,,,,F,musician
Josephine Victoria Occhiuto,1942-10-07,"New York City, U.S.",,,Joe Behar​ ​,1965-01-01,1981-01-01,2.0,1.0,1,0.0,,,,,,,,,F,musician
Kay Behrensmeyer,,,,,William Keyser,,,1.0,,Two,,,,,,,,,,F,musician
Janet L. Beizer,,,,,,,,,,,,,,,,,,,,F,musician
Cristina A. Bejan,1982-01-01,,,,,,,,,,,,,,,,,,,F,musician
Nicole Beland,,,,,,,,,,,,,,,,,,,,F,musician
Betty Jane Belanus,,,,,,,,,,,,,,,,,,,,F,musician
Kathleen Belew,1981-11-11,,,,,,,,,,,,,,,,,,,F,musician
