Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Catherine Ann Corman,1975-01-01,Los Angeles,,,,,,,,,,,,,,,,,,F,director
Charlotte Cotton,,,,,,,,,,,,,,,,,,,,F,director
Rachel Cox ,1984-01-01,,,,,,,,,,,,,,,,,,,F,director
Renee Cox,1960-10-16,"Colgate, Jamaica[1]",,,,,,,,,,,,,,,,,,F,director
Barbara Crane,1928-03-19,"Chicago, Illinois",2019-08-07,"Chicago, Illinois",,,,,,,,,,,,,,,,F,director
Annie Crawley,1968-08-23,"Chicago, Illinois, U.S.",,,,,,,,,,,,,,,,,,F,director
Leanna Creel,1970-08-27,"Los Angeles, California, U.S.",,,Rinat Greenberg ​,2008-01-01,,1.0,0.0,2,0.0,,,,,,,,,F,director
Enid Crow,,,,,,,,,,,,,,,,,,,,F,director
Cindy Hwang,1974-06-13,"Seoul, KR",,,,,,,,,,,,,,,,,,F,director
Velvet D'Amour,1967-05-27,"Rochester, New York",,,,,,,,,,,,,,,,,,F,director
Natasha D'Schommer,,,,,,,,,,,,,,,,,,,,F,director
Ramona d'Viola,1958-10-30,"Chicago, Illinois, U.S.",,,,,,,,,,,,,,,,,,F,director
Vicki DaSilva,1960-01-01,,,,,,,,,,,,,,,,,,,F,director
Barbara Davidson,,"Montreal, Quebec, Canada",,,,,,,,,,,,,,,,,,F,director
Parker Day,,,,,,,,,,,,,,,,,,,,F,director
Liliane de Cock,1939-09-11,Antwerp,2013-05-25,Wiscasset,,,,,,,,,,,,,,,,F,director
Penny De Los Santos,,,,,,,,,,,,,,,,,,,,F,director
Katrina del Mar,,,,,,,,,,,,,,,,,,,,F,director
Jini Dellaccio,,,,,,,,,,,,,,,,,,,,F,director
Amanda Scheer,,"Washington, D.C., United States",,,Edward Kern Demme,,,1.0,,,,1963-10-26,"New York City, U.S.",2002-01-13,"Santa Monica, California, U.S.",1.0,0.0,2,Amanda Scheer ​,F,director
Leah DeVun,,,,,,,,,,,,,,,,,,,,F,director
Jessica Dimmock,,,,,,,,,,,,,,,,,,,,F,director
Lina Isabel Dorado,1975-04-02,"Bogotá, Colombia, South America",,,,,,,,,,,,,,,,,,F,director
Elena Dorfman,,,,,,,,,,,,,,,,,,,,F,director
Virginia Nell Becker,1893-08-27,"Cleveland, Ohio",1988-11-15,"Litchfield, Connecticut","Thomas Koons m.1910, div. 1931.  John Van Nostrand Dorr m.1934, dec.1962",,,1.0,,,,1872-01-01,"Newark, New Jersey",1962-01-01,,,,,,F,director
Cheryl Machat Dorskind,1955-01-01,"Roslyn Harbor, New York",,,Glenn Dorskind ​,1982-01-01,,1.0,0.0,,0.0,,,,,,,,,F,director
Debi Doss,,,,,,,,,,,,,,,,,,,,F,director
Carolyn Drake,,,,,,,,,,,,,,,,,,,,F,director
Lauren Dukoff,,,,,,,,,,,,,,,,,,,,F,director
Barbara DuMetz,,,,,,,,,,,,,,,,,,,,F,director
Cheryl Dunn,,,,,,,,,,,,,,,,,,,,F,director
Shannon Ebner,1971-01-01,,,,,,,,,,,,,,,,,,,F,director
Sarah James Eddy,1851-05-03,"Boston, Massachusetts,  U.S.",1945-03-29,"Portsmouth, Rhode Island, U.S.",,,,,,,,,,,,,,,,F,director
Laurie Toby Edison,1942-03-05,"New York City, United States",,,,,,,,,,,,,,,,,,F,director
Sandra Eisert,1952-01-01,,,,,,,,,,,,,,,,,,,F,director
Inger Abrahamsen,1933-02-23,"Oslo, Norway",,,McCabe,,,1.0,,,,,,,,,,,,F,director
Jill Enfield,1954-08-08,"Miami Beach, Florida, USA",,,Richard Rabinowitz,,,1.0,,"Eve Enfield Rabinowitz (b. 1990), Sally Enfield Rabinowitz (b. 1994)",,,,,,,,,,F,director
Adrienne Marie England,1967-07-12,"Los Angeles, California, U.S.",,,Peter M. Lenkov,,,1.0,,4,,1964-05-09,"Montreal, Quebec, Canada",,,1.0,,4,Audie England,F,director
