Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Victoria Grace Blackburn,,,,,,,,,,,,,,,,,,,,F,journalist
Marguerite Blais,,,,,,,,,,,,,,,,,,,,F,journalist
Jean Blewett,,,,,,,,,,,,,,,,,,,,F,journalist
Kim Bolan,,,,,,,,,,,,,,,,,,,,F,journalist
Kathryn Borel,,,,,,,,,,,,,,,,,,,,F,journalist
Monique Bosco,,,,,,,,,,,,,,,,,,,,F,journalist
Rella Braithwaite,,,,,,,,,,,,,,,,,,,,F,journalist
Helen Branswell,,,,,,,,,,,,,,,,,,,,F,journalist
Jane Brierley,,,,,,,,,,,,,,,,,,,,F,journalist
Bride Broder,,,,,,,,,,,,,,,,,,,,F,journalist
Hélène Brodeur,,,,,,,,,,,,,,,,,,,,F,journalist
Cecily Brownstone,,,,,,,,,,,,,,,,,,,,F,journalist
Theresa Burke,,,,,,,,,,,,,,,,,,,,F,journalist
Elaine Howard,,"Columbus, Ohio, U.S.",,,Louis Callei​ ​,1963-01-01,1974-01-01,3.0,2.0,Nicky Trebek,0.0,,,,,,,,,F,journalist
June Rose Callwood,1924-06-02,"Chatham, Ontario, Canada",2007-04-14,"Toronto, Ontario, Canada",Trent Frayne,,,1.0,,Jill FrayneBrant FrayneJesse FrayneCasey Frayne,,1918-09-13,"Brandon, Manitoba",2012-02-11,"Toronto, Ontario",,,,,F,journalist
Claire Cameron,,,,,,,,,,,,,,,,,,,,F,journalist
La Carmina,,"Vancouver, British Columbia, Canada",,,,,,,,,,,,,,,,,,F,journalist
Gretta Chambers,,,,,,,,,,,,,,,,,,,,F,journalist
Corinne Chaponnière,1954-03-03,"Montreal, Quebec",,,,,,,,,,,,,,,,,,F,journalist
Ann Charney,,,,,,,,,,,,,,,,,,,,F,journalist
Sharlene Chiu,,,,,,,,,,,,,,,,,,,,F,journalist
Jane Christmas,,,,,,,,,,,,,,,,,,,,F,journalist
Caroline M. Nichols,1833-12-23,"Pickering, Ontario",1926-01-01,,,,,,,,,,,,,,,,,F,journalist
Éva Circé,1871-01-31,,1949-01-01,,,,,,,,,,,,,,,,,F,journalist
Chandra K. Clarke,,,,,,,,,,,,,,,,,,,,F,journalist
Nicole Cliffe,1982-09-02,,,,,,,,,,,,,,,,,,,F,journalist
Rhea Clyman,,,,,,,,,,,,,,,,,,,,F,journalist
Lisa R. Cohen,,,,,,,,,,,,,,,,,,,,F,journalist
Kathleen Blake Coleman,1856-02-20,"Castleblakeney, County Galway, Ireland",1915-05-16,"Hamilton, Ontario, Canada",,,,,,,,,,,,,,,,F,journalist
Kathy Cook ,,,,,,,,,,,,,,,,,,,,F,journalist
Sheila Copps,,,,,,,,,,,,,,,,,,,,F,journalist
Carole Corbeil,,,,,,,,,,,,,,,,,,,,F,journalist
Danielle Crittenden,1963-04-20,"Toronto, Ontario, Canada",,,David Jeffrey Frum[1],,,1.0,,,,1960-01-01,"Toronto, Ontario, Canada",,,1.0,0.0,3,Danielle Crittenden ​,F,journalist
Lynn Crosbie,,,,,,,,,,,,,,,,,,,,F,journalist
Julie Crysler,,,,,,,,,,,,,,,,,,,,F,journalist
Jill Culiner,,,,,,,,,,,,,,,,,,,,F,journalist
Beth Cuthand,,,,,,,,,,,,,,,,,,,,F,journalist
May Cutler,,,,,,,,,,,,,,,,,,,,F,journalist
Chantal Da Silva,,,,,,,,,,,,,,,,,,,,F,journalist
Diane-Monique Daviau,,,,,,,,,,,,,,,,,,,,F,journalist
Michelle Dean,,,,,,,,,,,,,,,,,,,,F,journalist
Rosanna Deerchild,,O-Pipon-Na-Piwin Cree Nation,,,,,,,,,,,,,,,,,,F,journalist
Susan Delacourt,,,,,,,,,,,,,,,,,,,,F,journalist
Monique Deland,,,,,,,,,,,,,,,,,,,,F,journalist
Clara Dennis,,,,,,,,,,,,,,,,,,,,F,journalist
Jean Desprez,,,,,,,,,,,,,,,,,,,,F,journalist
Henriette Dessaulles,,,,,,,,,,,,,,,,,,,,F,journalist
Liliane Dévieux-Dehoux,,,,,,,,,,,,,,,,,,,,F,journalist
Claudia Dey,,"Toronto, Ontario",,,Don Kerr,,,1.0,,,,,,,,,,,,F,journalist
Rosie DiManno,,,,,,,,,,,,,,,,,,,,F,journalist
Catharine Dixon,,,,,,,,,,,,,,,,,,,,F,journalist
Robyn Doolittle,1984-09-13,"Sarnia, Ontario, Canada",,,,,,,,,,,,,,,,,,F,journalist
Lydia Dotto,,,,,,,,,,,,,,,,,,,,F,journalist
Claudine Douville,,"Montreal, Quebec",,,,,,,,,,,,,,,,,,F,journalist
Mary Alice Downie,,,,,,,,,,,,,,,,,,,,F,journalist
Bronwyn Drainie,1945-01-01,"Toronto, Ontario, Canada",,,,,,,,,,,,,,,,,,F,journalist
Nadja Drost,,Canada,,,,,,,,,,,,,,,,,,F,journalist
Laura Dudas,,,,,,,,,,,,,,,,,,,,F,journalist
Sara Jeannette Duncan,,,,,,,,,,,,,,,,,,,,F,journalist
Nina Dunic,,,,,,,,,,,,,,,,,,,,F,journalist
Nicole Dunsdon,1970-11-07,"Summerland, British Columbia",,,Greg Fulmes,,,1.0,,"Spencer Kryczka, Lindsay Kryczka, Harrison Kryczka",,,,,,,,,,F,journalist
Louise Dupré,,,,,,,,,,,,,,,,,,,,F,journalist
Nancy Durham,,Canada,,,,,,,,,,,,,,,,,,F,journalist
Rebecca Eckler,,,,,,,,,,,,,,,,,,,,F,journalist
Aida Edemariam,,,,,,,,,,,,,,,,,,,,F,journalist
Jean Edmonds,,,,,,,,,,,,,,,,,,,,F,journalist
Amira Elghawaby,,,,,,,,,,,,,,,,,,,,F,journalist
Françoise Reux,1957-01-01,Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,F,journalist
Stasia Evasuk,1924-06-12,"Glace Bay, Nova Scotia",2009-05-28,"Brantford, Ontario",,,,,,,,,,,,,,,,F,journalist
Nazila Fathi,1970-12-28,"Tehran, Iran",,,,,,,,,,,,,,,,,,F,journalist
Jocelyne Felx,,,,,,,,,,,,,,,,,,,,F,journalist
Faith Fenton,,,,,,,,,,,,,,,,,,,,F,journalist
Nadia Fezzani,,,,,,,,,,,,,,,,,,,,F,journalist
Judith Flanders,,,,,,,,,,,,,,,,,,,,F,journalist
Lisa Foad,,,,,,,,,,,,,,,,,,,,F,journalist
Cheryl Foggo,,,,,,,,,,,,,,,,,,,,F,journalist
Melyssa Ford,1976-11-07,"Toronto, Ontario, Canada",,,,,,,,,,,,,,,,,,F,journalist
Valerie Fortney,,,,,,,,,,,,,,,,,,,,F,journalist
Lillian Foster,,,,,,,,,,,,,,,,,,,,F,journalist
Brenda Fowlie,,,,,,,,,,,,,,,,,,,,F,journalist
Diane Francis,1946-11-14,"Chicago, Illinois, U.S.",,,,,,,,,,,,,,,,,,F,journalist
Joan Fraser,,,,,,,,,,,,,,,,,,,,F,journalist
Pauline Fréchette,1889-10-16,"Montreal, Canada",1943-01-05,"Launay, France",Joseph Azarie Handfield​ ​,1910-01-01,1926-01-01,1.0,1.0,,0.0,,,,,,,,,F,journalist
Chrystia Freeland,,,,,,,,,,,,,,,,,,,,F,journalist
Sylvia Yu Friedman,,,,,,,,,,,,,,,,,,,,F,journalist
Linda Frum,,,,,,,,,,,,,,,,,,,,F,journalist
Lysiane Gagnon,,,,,,,,,,,,,,,,,,,,F,journalist
Mavis Gallant,,,,,,,,,,,,,,,,,,,,F,journalist
