Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Shabana Rehman Gaarder,1976-07-14,"Karachi, Sindh, Pakistan",2022-12-29,,Martin Gaarder,,,1.0,,,,,,,,,,,,F,playwrights
Hulda Garborg,,,,,,,,,,,,,,,,,,,,F,playwrights
Marte Wexelsen Goksøyr,,,,,,,,,,,,,,,,,,,,F,playwrights
Beate Grimsrud,1963-04-28,"Bærum, Norway",2020-07-01,"Stockholm, Sweden",,,,,,,,,,,,,,,,F,playwrights
Inger Hagerup,,,,,,,,,,,,,,,,,,,,F,playwrights
Ebba Haslund,1917-08-12,"Seattle, Washington, United States",2009-07-10,"Oslo, Norway",,,,,,,,,,,,,,,,F,playwrights
Kine Hellebust,1954-12-15,Harstad,,,,,,,,,,,,,,,,,,F,playwrights
Liv Heløe,,,,,,,,,,,,,,,,,,,,F,playwrights
Vera Margrethe Roscher Lund,1927-03-22,"Oslo, Norway",2016-05-23,,,,,,,,,,,,,,,,,F,playwrights
Anne Grete Hollup,,,,,,,,,,,,,,,,,,,,F,playwrights
Else Høst,,,,,,,,,,,,,,,,,,,,F,playwrights
Monica Isakstuen,1976-10-19,,,,,,,,,,,,,,,,,,,F,playwrights
Ruth Krefting,1900-09-22,"Kristiania, Norway",1987-12-19,Oslo,Anton Rønneberg,,,1.0,,,,,,,,,,,,F,playwrights
Sossen Anker Olsen,1923-12-18,"Kristiania (now Oslo), Norway",2016-02-12,,Thorleif Schjelderup​ ​,1943-01-01,1947-01-01,2.0,1.0,,1.0,,,,,,,,,F,playwrights
Torun Lian,1956-01-15,,,,,,,,,,,,,,,,,,,F,playwrights
Sissel Lie,,,,,,,,,,,,,,,,,,,,F,playwrights
Cecilie Løveid,1951-08-21,"Mysen, Norway",,,,,,,,,,,,,,,,,,F,playwrights
Ingeborg Møller,,,,,,,,,,,,,,,,,,,,F,playwrights
Annette Münch,1981-01-10,"Oslo, Norway",,,,,,,,,,,,,,,,,,F,playwrights
Margrethe Aabel Munthe,1860-05-27,"Elverum, Norway",1931-01-20,,,,,,,,,,,,,,,,,F,playwrights
Olaug Nilssen,1977-12-28,"Førde, Norway",,,,,,,,,,,,,,,,,,F,playwrights
Astrid Marian Saastad Ottesen,1975-11-24,"Florø, Norway",,,Nils Jørgen Kaalstad,,,1.0,,,,1979-01-23,"Bærum, Norway",,,1.0,,,Marian Saastad Ottesen,F,playwrights
Edith Ranum,,,,,,,,,,,,,,,,,,,,F,playwrights
Mathilde Dunker,1844-02-10,"Christiania, Norway",1926-01-13,Oslo,Peter Olrog Schjøtt,,,1.0,,Sofie Schjøtt,,,,,,,,,,F,playwrights
Birgit Målfrid Strøm,1931-08-09,"Oslo, Norway",2007-01-11,,,,,,,,,,,,,,,,,F,playwrights
Marie Ragnhild Skylstad,1926-12-05,"Ørsta, Norway",2008-01-28,,,,,,,Magnus Takvam,,,,,,,,,,F,playwrights
Marit Tusvik,,,,,,,,,,,,,,,,,,,,F,playwrights
Aslaug Vaa,,,,,,,,,,,,,,,,,,,,F,playwrights
Nina Valsø,1962-03-08,"Halsa, Norway",2002-04-14,,,,,,,,,,,,,,,,,F,playwrights
Maria Tryti Vennerød,,,,,,,,,,,,,,,,,,,,F,playwrights
Bjørg Vik,1935-09-11,"Oslo, Norway",2018-01-07,,,,,,,,,,,,,,,,,F,playwrights
Torild Wardenær,1951-11-30,"Stavanger, Norway",,,,,,,,,,,,,,,,,,F,playwrights
Merete Wiger,,,,,,,,,,,,,,,,,,,,F,playwrights
Bushra Bashir,1956-07-20,"Karachi, Federal Capital Territory, Pakistan[1]",,,Iqbal Ansari,,,1.0,,,,,,,,,,,,F,playwrights
Fatima Surayya Bajia,1930-09-01,"Hyderabad State, British India",2016-02-10,"Karachi, Pakistan",,,,,,,,,,,,,,,,F,playwrights
Fouzia Bhatti,1979-08-09,"Lahore, Punjab, Pakistan",,,,,,,,,,,,,,,,,,F,playwrights
Aliya Bukhari,,,,,,,,,,,,,,,,,,,,F,playwrights
Razia Butt,,,,,,,,,,,,,,,,,,,,F,playwrights
Samira Fazal,,,,,,,,,,,,,,,,,,,,F,playwrights
